Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
371,M45-49,49,M,Pembroke,NH,7:24,07:00.0,7:00,3:10,2:32,1 mile,1/1/2019
372,F13-19,14,F,Hudson,NH,7:08,07:00.1,7:01,3:11,1:57,1 mile,1/1/2019
373,F55-59,59,F,Merrimack,NH,7:19,07:00.4,7:01,3:11,1:06,1 mile,1/1/2019
374,M35-39,39,M,Madison,CT,7:27,07:00.4,7:01,3:11,2:25,1 mile,1/1/2019
375,M25-29,27,M,Dover,NH,7:23,07:00.9,7:01,3:11,2:40,1 mile,1/1/2019
376,M45-49,47,M,Salem,NH,7:20,07:01.1,7:02,3:12,2:34,1 mile,1/1/2019
377,M50-54,51,M,Tyngsboro,MA,7:09,07:01.2,7:02,3:12,2:28,1 mile,1/1/2019
378,M30-34,33,M,Manchester,NH,7:23,07:01.3,7:02,3:12,2:48,1 mile,1/1/2019
379,F35-39,39,F,Litchfield,NH,7:12,07:01.5,7:02,3:12,1:39,1 mile,1/1/2019
380,F35-39,38,F,Londonderry,NH,7:22,07:01.6,7:02,3:12,1:39,1 mile,1/1/2019
381,M50-54,50,M,Manchester,NH,7:24,07:01.7,7:02,3:12,2:28,1 mile,1/1/2019
382,F25-29,26,F,Concord,NH,7:06,07:01.8,7:02,3:12,1:58,1 mile,1/1/2019
383,F8,8,F,Derry,NH,7:17,07:01.9,7:02,3:12,1:23,1 mile,1/1/2019
384,M12,12,M,Londonderry,NH,7:18,07:01.9,7:02,3:12,1:39,1 mile,1/1/2019
385,M40-44,40,M,Manchester,NH,7:24,07:02.0,7:02,3:12,2:47,1 mile,1/1/2019
386,M10,10,M,Goffstown,NH,7:09,07:02.0,7:02,3:12,1:05,1 mile,1/1/2019
387,M13-19,13,M,Salem,NH,7:18,07:02.4,7:03,3:13,2:57,1 mile,1/1/2019
388,M30-34,31,M,Nashua,NH,7:16,07:02.9,7:03,3:13,2:49,1 mile,1/1/2019
389,M50-54,51,M,Bedford,NH,7:21,07:03.2,7:04,3:14,2:30,1 mile,1/1/2019
390,M8,8,M,Contoocook,NH,7:16,07:03.3,7:04,3:14,Winner,1 mile,1/1/2019
391,F30-34,32,F,Manchester,NH,7:25,07:03.6,7:04,3:14,1:51,1 mile,1/1/2019
392,F25-29,29,F,West Lebanon,NH,7:17,07:03.7,7:04,3:14,2:00,1 mile,1/1/2019
393,F35-39,35,F,Londonderry,NH,7:05,07:04.3,7:05,3:15,1:42,1 mile,1/1/2019
394,F30-34,30,F,Laconia,NH,7:19,07:05.5,7:06,3:16,1:53,1 mile,1/1/2019
395,F25-29,28,F,Merrimack,NH,8:02,07:05.9,7:06,3:16,2:02,1 mile,1/1/2019
396,M55-59,56,M,Goffstown,NH,7:22,07:06.0,7:06,3:16,1:49,1 mile,1/1/2019
397,M55-59,57,M,Londonderry,NH,7:14,07:06.0,7:06,3:16,1:49,1 mile,1/1/2019
398,M40-44,41,M,Londonderry,NH,7:17,07:06.3,7:07,3:17,2:52,1 mile,1/1/2019
399,M40-44,41,M,Windham,NH,8:43,07:06.3,7:07,3:17,2:52,1 mile,1/1/2019
400,F40-44,42,F,New London,NH,7:38,07:06.4,7:07,3:17,1:20,1 mile,1/1/2019
401,F30-34,32,F,Manchester,NH,7:22,07:06.4,7:07,3:17,1:54,1 mile,1/1/2019
402,F8,8,F,Rindge,NH,7:21,07:06.8,7:07,3:17,1:28,1 mile,1/1/2019
403,M30-34,31,M,Merrimack,NH,8:02,07:06.9,7:07,3:17,2:53,1 mile,1/1/2019
404,F45-49,47,F,Manchester,NH,7:19,07:07.4,7:08,3:18,0:34,1 mile,1/1/2019
405,M13-19,15,M,Pepperell,MA,7:44,07:07.5,7:08,3:18,3:02,1 mile,1/1/2019
406,M45-49,45,M,Bedford,NH,7:28,07:07.8,7:08,3:18,2:40,1 mile,1/1/2019
407,F45-49,46,F,Webster,NH,7:33,07:08.4,7:09,3:19,0:35,1 mile,1/1/2019
408,F40-44,42,F,Londonderry,NH,7:20,07:09.2,7:10,3:20,1:23,1 mile,1/1/2019
409,F30-34,32,F,Nashua,NH,7:21,07:09.4,7:10,3:20,1:57,1 mile,1/1/2019
410,M40-44,40,M,Contoocook,NH,7:22,07:09.4,7:10,3:20,2:55,1 mile,1/1/2019
411,F45-49,47,F,Chichester,NH,7:17,07:09.5,7:10,3:20,0:36,1 mile,1/1/2019
412,F25-29,25,F,Manchester,NH,7:38,07:09.6,7:10,3:20,2:06,1 mile,1/1/2019
413,M50-54,52,M,Manchester,NH,7:46,07:09.7,7:10,3:20,2:36,1 mile,1/1/2019
414,F50-54,52,F,Derry,NH,7:12,07:09.8,7:10,3:20,1:21,1 mile,1/1/2019
415,F50-54,53,F,Hudson,NH,7:39,07:09.8,7:10,3:20,1:21,1 mile,1/1/2019
416,M10,10,M,Amherst,NH,8:19,07:10.1,7:11,3:21,1:14,1 mile,1/1/2019
417,F50-54,51,F,Londonderry,NH,7:34,07:10.2,7:11,3:21,1:22,1 mile,1/1/2019
418,F45-49,48,F,Milford,NH,7:22,07:10.3,7:11,3:21,0:37,1 mile,1/1/2019
419,M11,11,M,Manchester,NH,7:33,07:10.8,7:11,3:21,1:48,1 mile,1/1/2019
420,M45-49,48,M,Londonderry,NH,7:36,07:10.8,7:11,3:21,2:43,1 mile,1/1/2019
